country,region,lat,long,country_code,decade,value
Dominican Republic,North America,18.735693,-70.162651,DOM,2000,92.0366154
Dominican Republic,North America,18.735693,-70.162651,DOM,2010,98.6920591111111
Ecuador,South America,-1.831239,-78.183406,ECU,1990,91.976001078
Ecuador,South America,-1.831239,-78.183406,ECU,2000,95.428395975
Ecuador,South America,-1.831239,-78.183406,ECU,2010,98.3629326666667
Egypt,Africa,26.820553,30.802498,EGY,1990,95.7623746875
Egypt,Africa,26.820553,30.802498,EGY,2000,98.482023071
Egypt,Africa,26.820553,30.802498,EGY,2010,99.6818157622222
El Salvador,North America,13.794185,-88.89653,SLV,1990,77.0458042688889
El Salvador,North America,13.794185,-88.89653,SLV,2000,88.3371445
El Salvador,North America,13.794185,-88.89653,SLV,2010,95.1337795555556
Guinea,Africa,1.650801,10.267895,GNQ,1990,
Guinea,Africa,1.650801,10.267895,GNQ,2000,
Guinea,Africa,1.650801,10.267895,GNQ,2010,66.28360958
Eritrea,Africa,15.179384,39.782334,ERI,1990,25.707586746
Eritrea,Africa,15.179384,39.782334,ERI,2000,34.10984089
Eritrea,Africa,15.179384,39.782334,ERI,2010,44.565851
Estonia,Europe,58.595272,25.013607,EST,1990,100.0
Estonia,Europe,58.595272,25.013607,EST,2000,100.0
Estonia,Europe,58.595272,25.013607,EST,2010,100.0
Ethiopia,Africa,9.145,40.489673,ETH,1990,
Ethiopia,Africa,9.145,40.489673,ETH,2000,30.785024099
Ethiopia,Africa,9.145,40.489673,ETH,2010,35.0714482633333
Faroe Islands,Europe,61.892635,-6.911806,FRO,1990,100.0
Faroe Islands,Europe,61.892635,-6.911806,FRO,2000,100.0
Faroe Islands,Europe,61.892635,-6.911806,FRO,2010,100.0
Fiji,Oceania,-16.578193,179.414413,FJI,1990,71.574985125
Fiji,Oceania,-16.578193,179.414413,FJI,2000,82.079138701
Fiji,Oceania,-16.578193,179.414413,FJI,2010,93.67754025
Finland,Europe,61.92411,25.748151,FIN,1990,100.0
Finland,Europe,61.92411,25.748151,FIN,2000,100.0
Finland,Europe,61.92411,25.748151,FIN,2010,100.0
France,Europe,46.227638,2.213749,FRA,1990,100.0
France,Europe,46.227638,2.213749,FRA,2000,100.0
France,Europe,46.227638,2.213749,FRA,2010,100.0
French Polynesia,Oceania,-17.679742,-149.406843,PYF,1990,100.0
French Polynesia,Oceania,-17.679742,-149.406843,PYF,2000,100.0
French Polynesia,Oceania,-17.679742,-149.406843,PYF,2010,100.0
Gabon,Africa,-0.803689,11.609444,GAB,1990,
Gabon,Africa,-0.803689,11.609444,GAB,2000,79.583021089
Gabon,Africa,-0.803689,11.609444,GAB,2010,90.2585630633333
The Gambia,Africa,13.443182,-15.310139,GMB,1990,21.7597690571429
The Gambia,Africa,13.443182,-15.310139,GMB,2000,34.921049762
The Gambia,Africa,13.443182,-15.310139,GMB,2010,53.0976634555556
Georgia,Europe,42.315407,43.356892,GEO,1990,
Georgia,Europe,42.315407,43.356892,GEO,2000,99.059650625
Georgia,Europe,42.315407,43.356892,GEO,2010,99.8744040588889
Germany,Europe,51.165691,10.451526,DEU,1990,100.0
Germany,Europe,51.165691,10.451526,DEU,2000,100.0
Germany,Europe,51.165691,10.451526,DEU,2010,100.0
Ghana,Africa,7.946527,-1.023194,GHA,1990,36.6722901471429
Ghana,Africa,7.946527,-1.023194,GHA,2000,53.143141699
Ghana,Africa,7.946527,-1.023194,GHA,2010,73.6548274266667
Gibraltar,Europe,36.137741,-5.345374,GIB,1990,100.0
Gibraltar,Europe,36.137741,-5.345374,GIB,2000,100.0
Gibraltar,Europe,36.137741,-5.345374,GIB,2010,100.0
Greece,Europe,39.074208,21.824312,GRC,1990,100.0
Greece,Europe,39.074208,21.824312,GRC,2000,100.0
Greece,Europe,39.074208,21.824312,GRC,2010,100.0
Greenland,North America,71.706936,-42.604303,GRL,1990,100.0
Greenland,North America,71.706936,-42.604303,GRL,2000,100.0
Greenland,North America,71.706936,-42.604303,GRL,2010,100.0
Grenada,North America,12.262776,-61.604171,GRD,1990,85.28324463
Grenada,North America,12.262776,-61.604171,GRD,2000,87.773633575
Grenada,North America,12.262776,-61.604171,GRD,2010,91.92547404
Guam, Oceania, 13.444304,144.793731,GUM,1990,99.976987458
Guam, Oceania,13.444304,144.793731,GUM,2000,100.0
Guam, Oceania, 13.444304,144.793731,GUM,2010,100.0
Guatemala,North America,15.783471,-90.230759,GTM,1990,67.681932678
Guatemala,North America,15.783471,-90.230759,GTM,2000,78.910825044
Guatemala,North America,15.783471,-90.230759,GTM,2010,88.7123293822222
Guinea,Africa,9.945587,-9.696645,GIN,1990,16.4
Guinea,Africa,9.945587,-9.696645,GIN,2000,20.774242802
Guinea,Africa,9.945587,-9.696645,GIN,2010,32.5151496033333
Guinea Bissau,Africa,11.803749,-15.180413,GNB,1990,
Guinea Bissau,Africa,11.803749,-15.180413,GNB,2000,9.1393503445
Guinea Bissau,Africa,11.803749,-15.180413,GNB,2010,18.3937651533333
Guyana,South America,4.860416,-58.93018,GUY,1990,72.2975090871429
Guyana,South America,4.860416,-58.93018,GUY,2000,76.480289272
Guyana,South America,4.860416,-58.93018,GUY,2010,87.2047227644444
Haiti,North America,18.971187,-72.285215,HTI,1990,30.74347473
Haiti,North America,18.971187,-72.285215,HTI,2000,34.247207254
Haiti,North America,18.971187,-72.285215,HTI,2010,40.3623298644444
Honduras,North America,15.199999,-86.241905,HND,1990,62.9311855555556
Honduras,North America,15.199999,-86.241905,HND,2000,69.53352585
Honduras,North America,15.199999,-86.241905,HND,2010,86.9550293366667
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,1990,100.0
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,2000,100.0
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,2010,100.0
Hungary,Europe,47.162494,19.503304,HUN,1990,100.0
Hungary,Europe,47.162494,19.503304,HUN,2000,100.0
Hungary,Europe,47.162494,19.503304,HUN,2010,100.0
Iceland,Europe,64.963051,-19.020835,ISL,1990,100.0
Iceland,Europe,64.963051,-19.020835,ISL,2000,100.0
Iceland,Europe,64.963051,-19.020835,ISL,2010,100.0
India,Asia,20.593684,78.96288,IND,1990,53.1940694542857
India,Asia,20.593684,78.96288,IND,2000,65.904499664
India,Asia,20.593684,78.96288,IND,2010,83.7371154777778
Indonesia,Asia,-0.789275,113.921327,IDN,1990,68.6237591211111
Indonesia,Asia,-0.789275,113.921327,IDN,2000,89.078686462
Indonesia,Asia,-0.789275,113.921327,IDN,2010,96.6957361944445
Iran,Asia,32.427908,53.688046,IRN,1990,
Iran,Asia,32.427908,53.688046,IRN,2000,98.323668366
Iran,Asia,32.427908,53.688046,IRN,2010,99.7153684822222
Iraq,Asia,33.223191,43.679291,IRQ,1990,
Iraq,Asia,33.223191,43.679291,IRQ,2000,97.912020885
Iraq,Asia,33.223191,43.679291,IRQ,2010,99.1203057177778
Ireland,Europe,53.41291,-8.24389,IRL,1990,100.0
Ireland,Europe,53.41291,-8.24389,IRL,2000,100.0
Ireland,Europe,53.41291,-8.24389,IRL,2010,100.0
Isle of Man,Europe,54.236107,-4.548056,IMN,1990,100.0
Isle of Man,Europe,54.236107,-4.548056,IMN,2000,100.0
Isle of Man,Europe,54.236107,-4.548056,IMN,2010,100.0
Israel,Asia,31.046051,34.851612,ISR,1990,100.0
Israel,Asia,31.046051,34.851612,ISR,2000,100.0
Israel,Asia,31.046051,34.851612,ISR,2010,100.0
Italy,Europe,41.87194,12.56738,ITA,1990,100.0
Italy,Europe,41.87194,12.56738,ITA,2000,100.0
Italy,Europe,41.87194,12.56738,ITA,2010,100.0
