country,region,lat,long,country_code,decade,value
Congo,Africa,-0.228021,15.827659,COG,1990,46.93381123157200
Congo,Africa,-0.228021,15.827659,COG,2000,52.81584632378350
Congo,Africa,-0.228021,15.827659,COG,2010,60.44475990635280
Costa Rica,North America,9.748917,-83.753428,CRI,1990,24.62223712791860
Costa Rica,North America,9.748917,-83.753428,CRI,2000,26.025639916114200
Costa Rica,North America,9.748917,-83.753428,CRI,2010,26.73239071773800
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,1990,17.87538740184770
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,2000,18.72217618242040
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,2010,19.482959340276100
Croatia,Europe,45.1,15.2,HRV,1990,-1
Croatia,Europe,45.1,15.2,HRV,2000,-1
Croatia,Europe,45.1,15.2,HRV,2010,-1
Cuba,North America,21.521757,-77.781167,CUB,1990,19.76924307423860
Cuba,North America,21.521757,-77.781167,CUB,2000,19.41935312828090
Cuba,North America,21.521757,-77.781167,CUB,2010,18.85878391152520
Cyprus,Europe,35.126413,33.429859,CYP,1990,-1
Cyprus,Europe,35.126413,33.429859,CYP,2000,-1
Cyprus,Europe,35.126413,33.429859,CYP,2010,-1
Czech Republic,Europe,49.817492,15.472962,CZE,1990,11.597228024401100
Czech Republic,Europe,49.817492,15.472962,CZE,2000,11.65285916382990
Czech Republic,Europe,49.817492,15.472962,CZE,2010,11.99617333600220
Denmark,Europe,56.26392,9.501785,DNK,1990,20.07365330324600
Denmark,Europe,56.26392,9.501785,DNK,2000,20.71392079634520
Denmark,Europe,56.26392,9.501785,DNK,2010,22.24941850039170
Djibouti,Africa,11.825138,42.590275,DJI,1990,-1
Djibouti,Africa,11.825138,42.590275,DJI,2000,-1
Djibouti,Africa,11.825138,42.590275,DJI,2010,-1
Dominica,North America,15.414999,-61.370976,DMA,1990,-1
Dominica,North America,15.414999,-61.370976,DMA,2000,-1
Dominica,North America,15.414999,-61.370976,DMA,2010,-1
Dominican Republic,North America,18.735693,-70.162651,DOM,1990,21.8967425681672
Dominican Republic,North America,18.735693,-70.162651,DOM,2000,25.08991651174300
Dominican Republic,North America,18.735693,-70.162651,DOM,2010,28.48307860981610
Ecuador,South America,-1.831239,-78.183406,ECU,1990,26.39931306729950
Ecuador,South America,-1.831239,-78.183406,ECU,2000,27.261351877463600
Ecuador,South America,-1.831239,-78.183406,ECU,2010,27.497903970785500
Egypt,Africa,26.820553,30.802498,EGY,1990,24.14506775899700
Egypt,Africa,26.820553,30.802498,EGY,2000,25.2626989376401
Egypt,Africa,26.820553,30.802498,EGY,2010,25.584934387127100
El Salvador,North America,13.794185,-88.89653,SLV,1990,18.59234777470010
El Salvador,North America,13.794185,-88.89653,SLV,2000,17.785330649528800
El Salvador,North America,13.794185,-88.89653,SLV,2010,17.38376664325300
Guinea,Africa,1.650801,10.267895,GNQ,1990,-1
Guinea,Africa,1.650801,10.267895,GNQ,2000,-1
Guinea,Africa,1.650801,10.267895,GNQ,2010,-1
Eritrea,Africa,15.179384,39.782334,ERI,1990,-1
Eritrea,Africa,15.179384,39.782334,ERI,2000,-1
Eritrea,Africa,15.179384,39.782334,ERI,2010,-1
Estonia,Europe,58.595272,25.013607,EST,1990,-1
Estonia,Europe,58.595272,25.013607,EST,2000,-1
Estonia,Europe,58.595272,25.013607,EST,2010,-1
Ethiopia,Africa,9.145,40.489673,ETH,1990,3.723950676155080
Ethiopia,Africa,9.145,40.489673,ETH,2000,3.491992372894900
Ethiopia,Africa,9.145,40.489673,ETH,2010,3.819227732219310
Faroe Islands,Europe,61.892635,-6.911806,FRO,1990,-1
Faroe Islands,Europe,61.892635,-6.911806,FRO,2000,-1
Faroe Islands,Europe,61.892635,-6.911806,FRO,2010,-1
Fiji,Oceania,-16.578193,179.414413,FJI,1990,-1
Fiji,Oceania,-16.578193,179.414413,FJI,2000,-1
Fiji,Oceania,-16.578193,179.414413,FJI,2010,-1
Finland,Europe,61.92411,25.748151,FIN,1990,18.43350635015410
Finland,Europe,61.92411,25.748151,FIN,2000,20.27386301980490
Finland,Europe,61.92411,25.748151,FIN,2010,22.202112353490600
France,Europe,46.227638,2.213749,FRA,1990,22.432659285790300
France,Europe,46.227638,2.213749,FRA,2000,22.40668137057290
France,Europe,46.227638,2.213749,FRA,2010,22.598321235080400
French Polynesia,Oceania,-17.679742,-149.406843,PYF,1990,-1
French Polynesia,Oceania,-17.679742,-149.406843,PYF,2000,-1
French Polynesia,Oceania,-17.679742,-149.406843,PYF,2010,-1
Gabon,Africa,-0.803689,11.609444,GAB,1990,-1
Gabon,Africa,-0.803689,11.609444,GAB,2000,-1
Gabon,Africa,-0.803689,11.609444,GAB,2010,-1
The Gambia,Africa,13.443182,-15.310139,GMB,1990,-1
The Gambia,Africa,13.443182,-15.310139,GMB,2000,-1
The Gambia,Africa,13.443182,-15.310139,GMB,2010,-1
Georgia,Europe,42.315407,43.356892,GEO,1990,25.327260510050600
Georgia,Europe,42.315407,43.356892,GEO,2000,27.60468390520460
Georgia,Europe,42.315407,43.356892,GEO,2010,28.88072576002510
Germany,Europe,51.165691,10.451526,DEU,1990,9.014247797467730
Germany,Europe,51.165691,10.451526,DEU,2000,8.96996041501625
Germany,Europe,51.165691,10.451526,DEU,2010,9.52198708366787
Ghana,Africa,7.946527,-1.023194,GHA,1990,13.620400376277200
Ghana,Africa,7.946527,-1.023194,GHA,2000,15.50475533627110
Ghana,Africa,7.946527,-1.023194,GHA,2010,17.52169255151430
Gibraltar,Europe,36.137741,-5.345374,GIB,1990,-1
Gibraltar,Europe,36.137741,-5.345374,GIB,2000,-1
Gibraltar,Europe,36.137741,-5.345374,GIB,2010,-1
Greece,Europe,39.074208,21.824312,GRC,1990,29.627253662871100
Greece,Europe,39.074208,21.824312,GRC,2000,28.98934436680090
Greece,Europe,39.074208,21.824312,GRC,2010,29.033798453235400
Greenland,North America,71.706936,-42.604303,GRL,1990,-1
Greenland,North America,71.706936,-42.604303,GRL,2000,-1
Greenland,North America,71.706936,-42.604303,GRL,2010,-1
Grenada,North America,12.262776,-61.604171,GRD,1990,-1
Grenada,North America,12.262776,-61.604171,GRD,2000,-1
Grenada,North America,12.262776,-61.604171,GRD,2010,-1
Guam, Oceania,13.444304,144.793731,GUM,1990,-1
Guam, Oceania,13.444304,144.793731,GUM,2000,-1
Guam, Oceania,13.444304,144.793731,GUM,2010,-1
Guatemala,North America,15.783471,-90.230759,GTM,1990,16.175112195715000
Guatemala,North America,15.783471,-90.230759,GTM,2000,17.67969808534780
Guatemala,North America,15.783471,-90.230759,GTM,2010,17.64443265149720
Guinea,Africa,9.945587,-9.696645,GIN,1990,14.174363017738600
Guinea,Africa,9.945587,-9.696645,GIN,2000,14.700041336277100
Guinea,Africa,9.945587,-9.696645,GIN,2010,14.92735337049150
Guinea Bissau,Africa,11.803749,-15.180413,GNB,1990,-1
Guinea Bissau,Africa,11.803749,-15.180413,GNB,2000,-1
Guinea Bissau,Africa,11.803749,-15.180413,GNB,2010,-1
Guyana,South America,4.860416,-58.93018,GUY,1990,-1
Guyana,South America,4.860416,-58.93018,GUY,2000,-1
Guyana,South America,4.860416,-58.93018,GUY,2010,-1
Haiti,North America,18.971187,-72.285215,HTI,1990,18.03513851236880
Haiti,North America,18.971187,-72.285215,HTI,2000,23.32886214341380
Haiti,North America,18.971187,-72.285215,HTI,2010,22.704601941830500
Honduras,North America,15.199999,-86.241905,HND,1990,11.492267380468500
Honduras,North America,15.199999,-86.241905,HND,2000,11.81941875681940
Honduras,North America,15.199999,-86.241905,HND,2010,13.44624365997370
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,1990,99.32081191651160
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,2000,99.94697669551080
"Hong Kong SAR, China",Asia,22.396428,114.109497,HKG,2010,99.64347498048350
Hungary,Europe,47.162494,19.503304,HUN,1990,18.448320198196900
Hungary,Europe,47.162494,19.503304,HUN,2000,17.4049404343419
Hungary,Europe,47.162494,19.503304,HUN,2010,17.691965604900800
Iceland,Europe,64.963051,-19.020835,ISL,1990,-1
Iceland,Europe,64.963051,-19.020835,ISL,2000,-1
Iceland,Europe,64.963051,-19.020835,ISL,2010,-1
India,Asia,20.593684,78.96288,IND,1990,11.61328202686170
India,Asia,20.593684,78.96288,IND,2000,12.94702522435610
India,Asia,20.593684,78.96288,IND,2010,14.62921429619390
Indonesia,Asia,-0.789275,113.921327,IDN,1990,11.83732906017500
Indonesia,Asia,-0.789275,113.921327,IDN,2000,12.35927066153230
Indonesia,Asia,-0.789275,113.921327,IDN,2010,13.07868831439740
Iran,Asia,32.427908,53.688046,IRN,1990,23.52865649404050
Iran,Asia,32.427908,53.688046,IRN,2000,24.78044166788950
Iran,Asia,32.427908,53.688046,IRN,2010,25.96007306800810
Iraq,Asia,33.223191,43.679291,IRQ,1990,30.33180553912820
Iraq,Asia,33.223191,43.679291,IRQ,2000,27.98187310760620
Iraq,Asia,33.223191,43.679291,IRQ,2010,25.59915802551840
Ireland,Europe,53.41291,-8.24389,IRL,1990,26.11094239344470
Ireland,Europe,53.41291,-8.24389,IRL,2000,24.95013731342390
Ireland,Europe,53.41291,-8.24389,IRL,2010,24.564591451025000
Isle of Man,Europe,54.236107,-4.548056,IMN,1990,-1
Isle of Man,Europe,54.236107,-4.548056,IMN,2000,-1
Isle of Man,Europe,54.236107,-4.548056,IMN,2010,-1
Israel,Asia,31.046051,34.851612,ISR,1990,55.26913163152370
Israel,Asia,31.046051,34.851612,ISR,2000,57.898651353290700
Israel,Asia,31.046051,34.851612,ISR,2010,57.35419389415430
Italy,Europe,41.87194,12.56738,ITA,1990,18.848616767791900
Italy,Europe,41.87194,12.56738,ITA,2000,18.56764310278750
Italy,Europe,41.87194,12.56738,ITA,2010,18.551587705517900
Jamaica,North America,18.109581,-77.297508,JAM,1990,-1
Jamaica,North America,18.109581,-77.297508,JAM,2000,-1
Jamaica,North America,18.109581,-77.297508,JAM,2010,-1
Japan,Asia,36.204824,138.252924,JPN,1990,59.01719274447690
Japan,Asia,36.204824,138.252924,JPN,2000,60.77608571530170
Japan,Asia,36.204824,138.252924,JPN,2010,63.80705742098750
Jordan,Asia,30.585164,36.238414,JOR,1990,21.641808315495600
Jordan,Asia,30.585164,36.238414,JOR,2000,19.31351683726970
Jordan,Asia,30.585164,36.238414,JOR,2010,19.59852076399030
Kazakhstan,Asia,48.019573,66.923684,KAZ,1990,8.94296809267047
Kazakhstan,Asia,48.019573,66.923684,KAZ,2000,11.66442257721480
Kazakhstan,Asia,48.019573,66.923684,KAZ,2010,14.43921586899490
Kenya,Africa,-0.023559,37.906193,KEN,1990,8.349402491421450
Kenya,Africa,-0.023559,37.906193,KEN,2000,9.453076237942550
Kenya,Africa,-0.023559,37.906193,KEN,2010,10.44879868742220
Kiribati,Oceania,-3.370417,-168.734039,KIR,1990,-1
Kiribati,Oceania,-3.370417,-168.734039,KIR,2000,-1
Kiribati,Oceania,-3.370417,-168.734039,KIR,2010,-1
North Korea,Asia,40.339852,127.510093,PRK,1990,12.49532524071770
North Korea,Asia,40.339852,127.510093,PRK,2000,11.80452218649410
North Korea,Asia,40.339852,127.510093,PRK,2010,11.78367076183220
South Korea,Asia,35.907757,127.766922,KOR,1990,51.74683877778810
South Korea,Asia,35.907757,127.766922,KOR,2000,50.866100542780700
South Korea,Asia,35.907757,127.766922,KOR,2010,50.10016476941560
Kosovo,Europe,42.602636,20.902977,XKX,1990,-1
Kosovo,Europe,42.602636,20.902977,XKX,2000,-1
Kosovo,Europe,42.602636,20.902977,XKX,2010,-1
Kuwait,Asia,29.31166,47.481766,KWT,1990,67.38577854971000
Kuwait,Asia,29.31166,47.481766,KWT,2000,66.7335774503498
Kuwait,Asia,29.31166,47.481766,KWT,2010,68.0777055342997
Kyrgyzstan,Asia,41.20438,74.766098,KGZ,1990,-1
Kyrgyzstan,Asia,41.20438,74.766098,KGZ,2000,-1
